code	has_two	has_four	two_count	four_count	two_top_rank	four_top_rank	two_words	four_words
mctd	1	0	1	0	15020		茅台	
scxt	1	0	1	0	15021		扫雪	
gxgo	1	0	2	0	15022		瓜果 挂果	
aomn	1	0	1	0	15023		奥妙	
tuxk	1	0	3	0	15024		土星 图形 徒刑	
vidd	1	0	2	0	15025		纸袋 指代	
fama	1	0	2	0	15026		发麻 砝码	
rfuf	1	0	2	0	15028		妊娠 人身	
yywh	1	1	1	2	15030	7235	运往	引以为憾 有益无害
hcjp	1	0	2	0	15031		浩劫 豪杰	
jisv	1	1	3	1	15032	12307	脊髓 几岁 击碎	精诚所至
furc	1	0	1	0	15033		富饶	
gsda	1	0	2	0	15034		攻打 工大	
ddbj	1	0	4	0	15036		呆板 待办 代办 带班	
gwyh	1	0	1	0	15037		给养	
mcdz	1	0	1	0	15038		毛豆	
kvsy	1	0	1	0	15039		亏损	
tgks	1	0	1	0	15041		腾空	
kdjr	1	0	1	0	15042		开卷	
uvho	1	0	2	0	15043		水货 水火	
qkks	1	0	2	0	15044		晴空 清空	
wfli	1	0	2	0	15045		纹理 文理	
fger	1	0	1	0	15046		风儿	
datp	1	0	1	0	15047		打铁	
kuuu	1	0	2	0	15048		酷暑 枯树	
lsts	1	0	1	0	15049		笼统	
tcjb	1	0	1	0	15050		淘金	
xumk	1	0	2	0	15051		虚名 续命	
vjqm	1	0	2	0	15052		战前 站前	
ycys	1	1	2	1	15053	12550	药用 要用	有财有势
uvqq	1	0	1	0	15054		水球	
lbgo	1	0	1	0	15056		邻国	
lvrf	1	0	2	0	15057		旅人 履任	
bcdm	1	0	2	0	15058		宝典 宝殿	
fwwo	1	0	1	0	15059		肥沃	
muti	1	0	1	0	15060		母体	
ykcd	1	0	2	0	15061		英才 硬菜	
digz	1	0	1	0	15062		地沟	
momp	1	0	1	0	15064		磨灭	
dkcj	1	0	1	0	15065		订餐	
ufqq	1	0	1	0	15066		深秋	
fgif	1	0	1	0	15067		风尘	
qmmi	1	0	1	0	15068		千米	
couh	1	0	2	0	15069		磋商 挫伤	
cdjm	1	0	2	0	15071		裁剪 裁减	
tyji	1	0	1	0	15072		囤积	
nmmd	1	0	1	0	15073		年迈	
pidz	1	0	1	0	15074		批斗	
rzmw	1	0	1	0	15075		柔美	
rcue	1	0	1	0	15076		饶舌	
wwdk	1	0	1	0	15078		未定	
iahv	1	0	1	0	15079		茶会	
uhfg	1	0	2	0	15080		上风 伤风	
gzll	1	0	1	0	15082		狗粮	
gvfw	1	0	2	0	15083		贵妃 规费	
ufih	1	0	3	0	15084		伸长 身长 深长	
jikv	1	0	1	0	15085		击溃	
henw	1	0	2	0	15086		河内 盒内	
ducd	1	0	1	0	15087		独裁	
rzjl	1	0	1	0	15088		肉酱	
nsyj	1	1	3	1	15089	14327	浓烟 农谚 浓艳	年深月久
xtva	1	0	1	0	15090		学渣	
sclr	1	0	1	0	15092		骚乱	
lilm	1	0	1	0	15093		历练	
bwan	1	0	3	0	15097		备案 北岸 北安	
gcff	1	0	1	0	15098		高分	
aifw	1	0	1	0	15099		爱妃	
lcns	1	0	1	0	15100		老农	
jbyj	1	0	3	0	15102		禁烟 禁言 进言	
tpvg	1	0	1	0	15103		铁证	
xqdc	1	0	2	0	15104		修道 嗅到	
dcgu	1	0	3	0	15105		稻谷 捣鼓 叨咕	
tzbc	1	0	2	0	15106		投保 头孢	
ycji	1	0	3	0	15107		药剂 妖姬 邀集	
tago	1	0	1	0	15108		他国	
ykly	1	0	1	0	15109		英伦	
aite	1	0	1	0	15110		艾特	
kzii	1	0	2	0	15111		口吃 口齿	
yttd	1	0	1	0	15112		月台	
jbif	1	1	1	1	15113	1679	今晨	久别重逢
qkcv	1	0	2	0	15114		清脆 青翠	
kclu	1	0	1	0	15115		烤炉	
ycwh	1	0	2	0	15116		遥望 药王	
vyru	1	0	1	0	15117		准入	
yjch	1	0	1	0	15118		掩藏	
liuv	1	0	4	0	15119		丽水 利税 沥水 溧水	
jiah	1	0	1	0	15120		激昂	
vrlp	1	0	1	0	15122		专列	
lomo	1	0	1	0	15123		落寞	
bwll	1	1	1	1	15125	2144	悲凉	百无聊赖
toer	1	0	1	0	15126		托儿	
qtyt	1	0	1	0	15127		雀跃	
hodv	1	0	1	0	15129		火堆	
phdy	1	0	1	0	15130		胖墩	
dycu	1	0	1	0	15131		敦促	
llnv	1	0	1	0	15132		靓女	
cvlv	1	0	1	0	15133		翠绿	
zcir	1	0	2	0	15134		造船 凿穿	
dsvl	1	0	1	0	15135		冬装	
ffwf	1	0	1	0	15136		分文	
lbsi	1	0	1	0	15137		临死	
uzys	1	0	1	0	15138		受用	
lqij	1	0	2	0	15139		流产 刘禅	
ghao	1	0	1	0	15141		港澳	
jier	1	0	1	0	15142		继而	
uvqm	1	0	2	0	15143		睡前 税前	
syhv	1	0	1	0	15144		损毁	
hkyz	1	0	1	0	15145		怀有	
tkxi	1	0	2	0	15146		停息 听戏	
zusd	1	0	1	0	15147		阻塞	
moer	1	0	2	0	15149		摩尔 莫尔	
poyu	1	0	1	0	15151		迫于	
ziys	1	0	1	0	15152		自用	
yznm	1	0	1	0	15153		幼年	
vhlo	1	0	2	0	15154		张罗 涨落	
jmqp	1	0	2	0	15155		剪切 贱妾	
fhnq	1	0	1	0	15156		放牛	
uaif	1	0	1	0	15157		沙尘	
hjvs	1	0	1	0	15159		汉中	
nwhe	1	0	2	0	15160		内核 内河	
fjky	1	0	1	0	15161		犯困	
dsmf	1	0	2	0	15162		东门 洞门	
lvlv	1	0	2	0	15163		屡屡 缕缕	
gdvi	1	0	2	0	15164		改制 钙质	
tnyr	1	0	1	0	15166		跳远	
ddmj	1	0	1	0	15167		怠慢	
tojq	1	0	1	0	15168		脱臼	
mafw	1	0	1	0	15169		吗啡	
gubj	1	0	2	0	15170		古板 骨板	
kdge	1	0	1	0	15171		凯歌	
sujk	1	0	2	0	15172		肃静 素净	
gsgr	1	0	4	0	15173		公关 攻关 公馆 共管	
diuv	1	0	2	0	15174		滴水 地税	
vfww	1	0	2	0	15175		真伪 镇委	
qtkz	1	0	1	0	15177		缺口	
xsjb	1	0	1	0	15178		胸襟	
thyi	1	0	2	0	15179		躺椅 糖衣	
woxb	1	0	2	0	15180		窝心 我心	
xrvi	1	0	2	0	15181		选址 宣纸	
xplq	1	0	1	0	15182		血流	
fuuy	1	0	2	0	15183		抚顺 富顺	
tvju	1	0	2	0	15184		推举 退居	
uziu	1	0	1	0	15186		售出	
vihu	1	0	2	0	15187		知乎 直呼	
wjer	1	0	2	0	15188		玩儿 莞尔	
lasa	1	0	1	0	15189		拉萨	
mklq	1	1	1	1	15190	4218	名流	门可罗雀
bcds	1	0	1	0	15191		暴动	
yrds	1	0	1	0	15193		远东	
dmzu	1	0	1	0	15194		电阻	
mcho	1	0	1	0	15198		冒火	
tctp	1	0	1	0	15202		饕餮	
yulj	1	0	2	0	15203		玉兰 预览	
rhww	1	0	1	0	15204		让位	
hjxn	1	0	2	0	15205		含笑 憨笑	
xxdp	1	0	1	0	15206		下跌	
nawj	1	0	1	0	15207		那晚	
fjfj	1	0	3	0	15208		翻番 翻翻 泛泛	
qmgu	1	0	1	0	15209		千古	
jyqn	1	0	2	0	15212		俊俏 峻峭	
irks	1	0	1	0	15213		穿孔	
zibo	1	0	1	0	15214		淄博	
bimo	1	0	1	0	15215		笔墨	
semh	1	0	1	0	15216		色盲	
hvsa	1	0	1	0	15217		挥洒	
haqm	1	0	1	0	15218		哈欠	
qimb	1	0	1	0	15220		器皿	
igrh	1	0	1	0	15221		承让	
wjts	1	0	1	0	15222		顽童	
uivf	1	0	4	0	15223		失真 湿疹 时针 市镇	
bclr	1	0	1	0	15224		暴乱	
hoyi	1	0	1	0	15225		获益	
jyma	1	0	3	0	15226		骏马 军马 均码	
xnjb	1	0	2	0	15227		宵禁 小金	
qrxi	1	0	2	0	15228		全息 全系	
xkcy	1	0	1	0	15229		幸存	
hwhe	1	0	2	0	15230		黑河 黑盒	
mddj	1	0	2	0	15231		买单 埋单	
pufu	1	0	1	0	15232		匍匐	
lqti	1	0	2	0	15233		流体 流涕	
gcpb	1	0	1	0	15235		高频	
bcjl	1	0	3	0	15236		褒奖 爆浆 包浆	
fhhs	1	0	1	0	15237		防洪	
aiyr	1	0	1	0	15238		哀怨	
ucgr	1	0	2	0	15239		韶关 少管	
tuqi	1	0	4	0	15240		凸起 突起 土气 吐气	
zgsu	1	0	1	0	15243		增速	
pmtz	1	0	1	0	15244		片头	
lcuk	1	0	1	0	15245		老帅	
jbxb	1	0	1	0	15246		尽心	
schl	1	0	1	0	15247		扫黄	
aniu	1	0	1	0	15248		暗处	
vuda	1	0	1	0	15249		主打	
jxmm	1	0	2	0	15252		加冕 假面	
lldo	1	0	1	0	15254		良多	
siua	1	0	1	0	15255		厮杀	
xbuf	1	0	1	0	15256		心神	
xyia	1	0	2	0	15257		巡查 巡察	
ciju	1	0	2	0	15258		词句 此举	
iuwu	1	0	2	0	15259		初五 储物	
ksnj	1	0	1	0	15260		空难	
yiku	1	0	2	0	15263		衣裤 忆苦	
tnvi	1	0	2	0	15264		调制 调职	
gsvi	1	0	3	0	15265		公职 供职 公制	
ytkj	1	0	1	0	15266		月刊	
qrvi	1	0	2	0	15267		全职 全脂	
ziqu	1	0	1	0	15268		自取	
letj	1	0	1	0	15269		乐坛	
rrjb	1	0	1	0	15270		软禁	
uvfw	1	0	3	0	15272		水费 税费 水肥	
pkhx	1	0	2	0	15273		平滑 评话	
ldjk	1	0	1	0	15274		来京	
bdmm	1	0	1	0	15277		白面	
uzbo	1	0	1	0	15278		首播	
vcqk	1	0	1	0	15279		肇庆	
mbqr	1	0	1	0	15280		民权	
lusy	1	0	1	0	15281		芦笋	
klbc	1	0	1	0	15282		狂暴	
xyii	1	0	2	0	15285		训斥 迅驰	
wffa	1	0	2	0	15286		文法 问法	
ivzi	1	0	1	0	15287		锤子	
lqxn	1	0	1	0	15288		留校	
hdsc	1	0	1	0	15291		害臊	
sglv	1	0	1	0	15292		僧侣	
llbd	1	0	2	0	15293		两百 亮白	
ziju	1	0	3	0	15294		自居 字句 字据	
mhqu	1	0	1	0	15295		盲区	
kzjn	1	0	4	0	15296		口角 口交 抠脚 扣缴	
jqzd	1	0	1	0	15297		救灾	
duzz	1	0	1	0	15298		独奏	
mbju	1	0	2	0	15300		民居 闽剧	
gcgu	1	0	1	0	15302		高估	
qtxi	1	0	1	0	15303		缺席	
mihh	1	0	1	0	15304		迷航	
jkhu	1	0	2	0	15305		惊呼 京沪	
uhff	1	0	2	0	15306		上坟 上分	
tkvg	1	0	2	0	15307		听证 听政	
fhfu	1	0	1	0	15308		防腐	
vgxl	1	0	3	0	15310		争相 正想 征象	
jpma	1	0	1	0	15312		解码	
bclj	1	0	3	0	15313		包揽 宝蓝 饱览	
ycgj	1	0	2	0	15314		遥感 腰杆	
yufu	1	0	3	0	15315		预付 迂腐 渔夫	
irrf	1	0	1	0	15316		传人	
kujn	1	0	2	0	15317		裤脚 哭叫	
rfyz	1	0	1	0	15318		任由	
mfkl	1	0	1	0	15320		门框	
llxk	1	0	3	0	15324		良性 两性 量刑	
xstd	1	0	1	0	15325		兄台	
igir	1	0	3	0	15327		乘船 盛传 撑船	
uoqk	1	0	2	0	15328		说情 说清	
touz	1	0	1	0	15330		脱手	
jrjb	1	0	1	0	15331		卷进	
tddi	1	0	1	0	15332		泰迪	
uzzd	1	0	2	0	15333		受灾 守在	
xlxu	1	0	1	0	15334		相许	
gvfh	1	0	2	0	15336		闺房 贵方	
diln	1	0	1	0	15337		底料	
jidh	1	0	1	0	15338		激荡	
ybia	1	0	2	0	15339		饮茶 音叉	
lqpd	1	0	2	0	15340		流派 流拍	
vcjm	1	0	2	0	15341		召见 照见	
iily	1	1	1	1	15342	7196	齿轮	垂垂老矣
qpru	1	0	1	0	15343		切入	
jmke	1	0	2	0	15344		剑客 尖刻	
bkxk	1	0	2	0	15346		并行 秉性	
datd	1	0	2	0	15347		打胎 搭台	
ivxm	1	0	2	0	15348		垂涎 垂线	
hulm	1	0	2	0	15351		互联 互连	
cifu	1	0	2	0	15352		赐福 慈父	
yzmm	1	0	1	0	15354		右面	
biyb	1	0	2	0	15355		鼻音 庇荫	
wdwf	1	0	1	0	15356		外文	
bdvz	1	0	2	0	15358		白昼 白粥	
mnzu	1	0	1	0	15359		苗族	
wdww	1	0	1	0	15361		外围	
qmfj	1	0	1	0	15362		遣返	
wfis	1	0	1	0	15363		蚊虫	
jyjp	1	0	2	0	15365		俊杰 军界	
cjxr	1	0	1	0	15366		参选	
tota	1	0	1	0	15369		拖沓	
ignw	1	0	1	0	15371		城内	
xltj	1	1	2	2	15372	6883	湘潭 详谈	显露头角 泄露天机
xnyj	1	0	4	0	15373		硝烟 消炎 校验 笑颜	
tmic	1	0	1	0	15374		天朝	
bitz	1	0	2	0	15376		鼻头 笔头	
bhdk	1	0	2	0	15377		绑定 帮顶	
npzi	1	0	2	0	15378		镊子 孽子	
tnks	1	0	2	0	15379		调控 跳空	
jnan	1	0	1	0	15380		教案	
voyi	1	0	1	0	15381		桌椅	
dmzr	1	0	1	0	15382		电钻	
hyvj	1	1	1	2	15383	5756	混战	红衣主教 红颜知己
naih	1	0	1	0	15385		那场	
ykiy	1	0	1	0	15386		迎春	
gjjy	1	0	1	0	15387		杆菌	
xyhc	1	0	1	0	15388		讯号	
tcjm	1	0	2	0	15389		套间 套件	
ihwu	1	0	2	0	15390		常务 厂务	
fghc	1	0	1	0	15391		封号	
zsvj	1	0	1	0	15392		总站	
xnbj	1	0	2	0	15393		小班 校办	
irhx	1	0	1	0	15395		传话	
thjp	1	0	1	0	15396		堂姐	
qkih	1	0	4	0	15397		清唱 清场 情场 清偿	
lkqk	1	0	1	0	15398		领情	
jnmd	1	0	1	0	15399		叫卖	
bcnu	1	0	1	0	15402		暴怒	
tnbj	1	0	1	0	15403		跳板	
vslc	1	0	1	0	15404		终老	
xiig	1	0	2	0	15406		西城 戏称	
hoda	1	0	2	0	15407		豁达 火大	
drss	1	0	1	0	15408		断送	
jrlm	1	0	2	0	15409		眷恋 卷帘	
czjb	1	0	1	0	15410		凑近	
xtvh	1	0	1	0	15411		雪仗	
pibm	1	0	1	0	15412		皮鞭	
hopc	1	0	1	0	15414		火炮	
didz	1	0	1	0	15415		帝都	
thsd	1	0	1	0	15416		搪塞	
ugvu	1	0	1	0	15417		生猪	
lbkf	1	0	1	0	15418		林肯	
xmji	1	0	4	0	15419		先机 献祭 县级 献计	
qldo	1	0	1	0	15420		抢夺	
mkdi	1	0	2	0	15421		鸣笛 鸣镝	
xixp	1	0	1	0	15422		吸血	
qlfa	1	0	1	0	15423		枪法	
uvug	1	0	2	0	15425		水声 水生	
kxru	1	0	1	0	15426		跨入	
igll	1	0	2	0	15427		乘凉 称量	
dath	1	0	2	0	15428		大唐 大堂	
yrjb	1	0	2	0	15430		远近 缘尽	
xrxt	1	0	1	0	15431		玄学	
fojn	1	0	2	0	15432		佛教 佛脚	
jkqn	1	0	1	0	15434		精巧	
bkgz	1	0	1	0	15436		并购	
gspo	1	0	2	0	15437		攻破 公婆	
reia	1	0	1	0	15439		热茶	
sala	1	0	2	0	15440		萨拉 撒拉	
roxl	1	0	2	0	15441		弱项 若想	
pwou	1	0	1	0	15442		配偶	
lmgh	1	0	1	0	15443		炼钢	
mito	1	0	1	0	15444		弥陀	
uvbg	1	0	1	0	15445		水泵	
cygr	1	0	1	0	15446		村官	
verf	1	0	1	0	15448		哲人	
rsih	1	0	2	0	15449		冗长 荣昌	
wdtj	1	0	1	0	15450		外滩	
juni	1	0	1	0	15451		拘泥	
cykz	1	0	1	0	15452		村口	
hrsj	1	0	1	0	15453		涣散	
zimb	1	0	1	0	15454		子民	
hula	1	0	1	0	15455		呼啦	
muer	1	0	2	0	15456		木耳 穆尔	
xujk	1	0	2	0	15457		虚惊 需经	
uhfj	1	0	1	0	15458		商贩	
siqk	1	0	1	0	15459		私情	
uzhr	1	0	1	0	15460		手环	
pgbi	1	0	1	0	15461		碰壁	
aapo	1	0	1	0	15463		阿婆	
biuv	1	0	2	0	15464		碧水 避税	
jpho	1	0	4	0	15465		解惑 截获 接活 结伙	
thsg	1	0	1	0	15466		唐僧	
hrqm	1	0	1	0	15467		换钱	
mbbj	1	0	1	0	15468		民办	
xldi	1	0	2	0	15469		箱底 相抵	
uemf	1	0	1	0	15470		射门	
bmtm	1	0	1	0	15471		变天	
xibd	1	0	2	0	15472		洗白 惜败	
zjge	1	0	1	0	15473		赞歌	
qphe	1	0	1	0	15474		切合	
ldug	1	1	1	1	15475	13133	来生	落地生根
tsln	1	0	2	0	15476		同僚 通辽	
bjhx	1	0	2	0	15477		版画 班花	
hwke	1	0	1	0	15479		黑客	
hldc	1	1	3	1	15480	14247	荒岛 黄岛 黄道	话里带刺
zuqy	1	1	1	1	15481	6388	族群	自食其言
hvlo	1	0	1	0	15482		回落	
qblb	1	0	1	0	15484		亲临	
cjjb	1	0	1	0	15485		餐巾	
fwyi	1	0	2	0	15486		非议 非遗	
vfmi	1	0	1	0	15487		缜密	
uiuf	1	0	3	0	15488		失身 失神 尸身	
qmwa	1	0	1	0	15489		千瓦	
yyhd	1	0	1	0	15490		云海	
jkzz	1	0	1	0	15491		竞走	
uvbn	1	0	1	0	15493		水表	
gsqk	1	0	2	0	15494		公顷 共情	
jimz	1	0	2	0	15495		计谋 机谋	
bkzi	1	0	2	0	15496		饼子 丙子	
klwu	1	1	1	1	15498	13176	矿物	颗粒无收
xkqk	1	0	3	0	15499		性情 行情 星晴	
jbxx	1	0	1	0	15503		今夏	
uhyt	1	0	2	0	15504		赏月 上月	
zzyh	1	0	1	0	15505		走样	
vekr	1	0	1	0	15506		这款	
ffee	1	0	1	0	15507		份额	
dahx	1	0	4	0	15508		打滑 答话 搭话 大话	
zvuc	1	0	1	0	15509		最少	
heug	1	0	1	0	15510		和声	
gvgs	1	0	2	0	15511		归功 归公	
gxpi	1	0	1	0	15512		瓜皮	
qilo	1	0	1	0	15513		起落	
pwui	1	0	2	0	15515		配饰 陪侍	
bgdd	1	0	1	0	15516		绷带	
lerj	1	0	1	0	15517		了然	
xblv	1	0	3	0	15519		心律 心率 新绿	
igjm	1	0	3	0	15520		城建 承建 成见	
ceiu	1	0	1	0	15522		测出	
ybjk	1	0	2	0	15523		阴茎 银镜	
szjq	1	0	1	0	15524		搜救	
ncgx	1	0	1	0	15526		脑瓜	
hzma	1	0	2	0	15527		后妈 侯马	
yamf	1	0	1	0	15528		衙门	
hrju	1	0	1	0	15529		欢聚	
duvi	1	0	2	0	15530		渎职 毒汁	
pilz	1	0	3	0	15531		披露 纰漏 僻陋	
zjxu	1	0	1	0	15532		赞许	
uvlu	1	0	2	0	15533		水路 水陆	
rfai	1	0	1	0	15534		仁爱	
wduh	1	0	2	0	15535		外伤 外商	
sjda	1	0	2	0	15537		散打 三大	
wdli	1	0	2	0	15538		外力 歪理	
pjgo	1	0	1	0	15539		叛国	
vzgs	1	0	1	0	15540		周公	
lqsu	1	0	3	0	15541		留宿 流速 流苏	
fgic	1	0	2	0	15542		风潮 蜂巢	
pjdm	1	0	1	0	15544		盘点	
butn	1	0	2	0	15545		步调 布条	
pcgl	1	0	1	0	15547		抛光	
cdyc	1	0	2	0	15548		菜肴 采药	
pgtn	1	0	1	0	15549		烹调	
szgx	1	0	1	0	15550		搜刮	
jmyc	1	0	2	0	15552		简要 煎药	
icqy	1	0	1	0	15554		超群	
rjvi	1	0	2	0	15556		染指 燃脂	
vdvu	1	0	2	0	15558		债主 寨主	
kziu	1	0	2	0	15559		扣除 口出	
lgre	1	0	1	0	15560		冷热	
dild	1	0	1	0	15561		抵赖	
ujju	1	0	2	0	15562		善举 山居	
xifa	1	0	2	0	15563		戏法 洗发	
yjda	1	0	1	0	15564		严打	
tici	1	0	2	0	15565		题词 梯次	
zouh	1	0	1	0	15569		左上	
gsia	1	0	1	0	15570		公差	
mwff	1	0	2	0	15571		美分 每份	
jnvo	1	0	1	0	15572		焦灼	
dmvs	1	0	1	0	15573		点钟	
hxnj	1	0	2	0	15574		华南 桦南	
whyb	1	0	2	0	15575		网瘾 网银	
quke	1	0	2	0	15576		躯壳 去壳	
yuxi	1	0	5	0	15577		预习 玉玺 遇袭 玉溪 语系	
ggzo	1	0	1	0	15579		耕作	
jmdh	1	0	2	0	15580		建党 建档	
hjxb	1	0	2	0	15581		寒心 韩信	
xbhx	1	0	3	0	15582		新华 心花 新化	
vzmi	1	0	1	0	15583		周密	
kdyj	1	0	2	0	15585		开眼 开演	
vacd	1	0	1	0	15586		榨菜	
gsfh	1	0	5	0	15588		攻防 功放 工坊 公房 工房	
pisa	1	0	1	0	15589		披萨	
dnxn	1	0	2	0	15590		吊销 吊孝	
xpfa	1	0	1	0	15591		写法	
gorz	1	0	1	0	15593		果肉	
yuvi	1	0	4	0	15594		预支 预知 阈值 预制	
ding	1	0	1	0	15595		低能	
zdvs	1	0	2	0	15596		载重 栽种	
qkgc	1	0	1	0	15598		清高	
tcys	1	0	2	0	15599		套用 陶俑	
qidu	1	0	1	0	15600		气度	
lihe	1	0	2	0	15601		礼盒 离合	
lowf	1	0	2	0	15602		螺纹 罗纹	
xkjn	1	0	1	0	15603		性交	
ufso	1	0	1	0	15604		伸缩	
uupk	1	0	3	0	15605		书评 竖屏 述评	
pijb	1	0	1	0	15606		皮筋	
qukr	1	0	1	0	15607		取款	
toqm	1	0	1	0	15608		拖欠	
mmyj	1	0	1	0	15609		绵延	
jkvz	1	0	2	0	15611		荆州 靖州	
iupb	1	0	1	0	15613		出品	
jibw	1	0	2	0	15614		脊背 几倍	
ufly	1	0	1	0	15615		申论	
pkbd	1	0	1	0	15616		平白	
thcu	1	0	1	0	15617		糖醋	
uugf	1	0	1	0	15618		树根	
hljn	1	0	1	0	15619		荒郊	
uuwj	1	0	1	0	15620		数万	
ujli	1	0	2	0	15621		山里 擅离	
qkmm	1	0	1	0	15622		情面	
fjmf	1	0	1	0	15623		烦闷	
qihx	1	0	4	0	15624		气话 企划 气化 汽化	
yaxk	1	0	1	0	15625		雅兴	
masd	1	0	1	0	15626		马赛	
kzxb	1	0	1	0	15628		口信	
anle	1	0	1	0	15629		安乐	
yzbi	1	1	2	1	15630	8633	右臂 幽闭	一字不差
mdds	1	0	2	0	15631		脉动 麦冬	
vvzi	1	0	2	0	15633		锥子 坠子	
hfdu	1	0	1	0	15634		狠毒	
jpyr	1	0	2	0	15635		结缘 结怨	
tjia	1	0	1	0	15636		探查	
nwke	1	0	1	0	15637		内科	
pdjp	1	0	1	0	15638		排解	
lpyj	1	0	2	0	15639		烈焰 猎艳	
pcnq	1	0	1	0	15640		泡妞	
djbm	1	0	1	0	15643		单边	
nnbu	1	1	1	1	15644	12355	尿布	念念不舍
uibw	1	0	2	0	15645		石碑 十倍	
vujx	1	0	2	0	15646		住家 主家	
qthj	1	0	1	0	15647		缺憾	
chni	1	0	1	0	15650		藏匿	
cokd	1	0	1	0	15652		错开	
tmma	1	0	2	0	15653		天马 天麻	
jkhy	1	0	2	0	15654		惊魂 精魂	
vsys	1	0	3	0	15655		中庸 重用 中用	
nsvs	1	0	2	0	15656		浓重 脓肿	
xbwu	1	0	2	0	15658		信物 新屋	
uayj	1	0	2	0	15659		傻眼 砂岩	
mopi	1	0	1	0	15660		磨皮	
idlh	1	0	1	0	15662		豺狼	
wjro	1	0	1	0	15663		宛若	
uefh	1	0	1	0	15665		设防	
xpzd	1	0	2	0	15667		卸载 写在	
iurh	1	1	1	1	15668	1824	出让	出神入化
falc	1	0	1	0	15669		法老	
lgyj	1	0	2	0	15673		冷艳 冷眼	
bjuz	1	0	3	0	15674		扳手 半兽 颁授	
djif	1	0	1	0	15675		诞辰	
yucy	1	0	2	0	15677		渔村 预存	
ldpi	1	0	1	0	15678		赖皮	
gdci	1	0	1	0	15679		盖茨	
lepu	1	0	1	0	15681		乐谱	
ybrf	1	0	2	0	15682		隐忍 引人	
tmjq	1	0	1	0	15683		甜酒	
uavu	1	0	2	0	15684		刹住 杀猪	
fwzd	1	0	1	0	15685		肥仔	
yzgk	1	0	2	0	15686		诱拐 右拐	
jpmg	1	0	2	0	15687		结盟 解梦	
daee	1	0	1	0	15689		大额	
hlua	1	0	2	0	15690		黄沙 荒沙	
zopd	1	0	2	0	15692		左派 做派	
ihxi	1	1	1	1	15693	15460	唱戏	超乎寻常
niua	1	0	2	0	15694		泥沙 你傻	
iygg	1	0	1	0	15697		春耕	
vgpm	1	0	3	0	15698		正片 整片 整篇	
yetu	1	0	1	0	15699		野兔	
tkbo	1	0	2	0	15700		停泊 停播	
tkfh	1	0	1	0	15701		停放	
iedn	1	0	2	0	15702		撤掉 扯掉	
nidk	1	0	2	0	15704		拟定 拟订	
pbfa	1	0	2	0	15706		贫乏 频发	
bbjn	1	0	1	0	15707		鬓角	
hxyi	1	0	3	0	15708		华裔 画意 划一	
vrer	1	0	1	0	15709		转而	
wjmj	1	0	1	0	15710		完满	
nokd	1	0	1	0	15711		挪开	
xqcd	1	0	1	0	15714		秀才	
igls	1	0	1	0	15716		成龙	
zcpo	1	0	1	0	15717		糟粕	
qnuz	1	0	2	0	15718		翘首 巧手	
wfvd	1	0	1	0	15719		文摘	
igdc	1	0	1	0	15720		称道	
sjhc	1	0	1	0	15721		三好	
yrrf	1	0	2	0	15722		猿人 原任	
mgug	1	0	1	0	15723		萌生	
tcjn	1	0	1	0	15726		讨教	
qmgx	1	0	2	0	15727		牵挂 乾卦	
njbj	1	0	3	0	15728		难办 男伴 男版	
jmbw	1	0	2	0	15729		兼备 肩背	
tsig	1	0	5	0	15730		统称 同城 桐城 通称 通城	
drkz	1	0	2	0	15731		端口 断口	
hzie	1	0	2	0	15732		候车 后撤	
diwo	1	0	1	0	15733		敌我	
iize	1	0	2	0	15734		斥责 叱责	
cdyy	1	0	2	0	15736		财运 彩云	
yuee	1	0	1	0	15737		余额	
xkbk	1	0	2	0	15738		性病 兴兵	
eryu	1	0	2	0	15739		耳语 而与	
yulb	1	0	5	0	15740		雨林 鱼鳞 榆林 玉林 育林	
lvci	1	0	1	0	15741		屡次	
lwqq	1	0	1	0	15742		垒球	
hzhz	1	0	2	0	15743		厚厚 吼吼	
uaih	1	0	2	0	15744		沙场 纱厂	
xyse	1	0	1	0	15745		逊色	
bihd	1	0	2	0	15746		碧海 弊害	
sclw	1	0	1	0	15747		扫雷	
dsan	1	0	2	0	15748		东岸 东安	
yjxp	1	0	1	0	15749		验血	
cipj	1	0	2	0	15750		磁盘 瓷盘	
hvjt	1	0	1	0	15752		回绝	
wdxl	1	0	3	0	15753		外向 外相 外乡	
xlyy	1	0	1	0	15754		祥云	
xsxm	1	0	3	0	15755		凶险 雄县 胸腺	
dazd	1	0	1	0	15756		搭载	
yyqq	1	0	1	0	15758		运球	
sjmj	1	0	1	0	15759		散漫	
mkmo	1	0	2	0	15760		名模 明末	
hyvo	1	0	2	0	15762		浑浊 混浊	
idxp	1	0	1	0	15763		拆卸	
jqug	1	0	1	0	15764		救生	
xshj	1	0	1	0	15767		凶悍	
velj	1	0	1	0	15768		遮拦	
pfqr	1	0	1	0	15769		喷泉	
rhrf	1	0	1	0	15770		让人	
zvrf	1	0	2	0	15772		罪人 醉人	
gsns	1	0	1	0	15774		工农	
vfjp	1	0	2	0	15776		贞洁 贞节	
gehz	1	0	2	0	15778		歌喉 割喉	
dajq	1	0	2	0	15780		搭救 大舅	
xpth	1	0	2	0	15781		血糖 斜躺	
jbcj	1	0	1	0	15782		进餐	
bcqr	1	0	2	0	15783		保全 抱拳	
xike	1	0	1	0	15784		稀客	
guku	1	0	1	0	15785		孤苦	
gldu	1	1	2	1	15786	549	广度 光度	高楼大厦
