行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
19873	左面	37	zuo3 mian4	zuomian	zuo3 mian4	zuo mian	zuo mian	zuo mian	简单鹤与鲸凉鹤去飞键后一致	
19874	布罗萨尔	37	bu4 luo1/luo2/luo5 sa4 er3	buluosaer				bu luo sa er	原始双字段一致（非独立语料证据）	
19875	布莱尔	37	Bu4 lai2 er3	bulaier	bu4 lai2 er3			bu lai er	整词词典与原始音节一致	
19876	异教	37	yi4 jiao4	yijiao			yi jiao	yi jiao	单份鹤参考与其他证据一致	
19877	弗兰尼	37	fu2 lan2 ni2	fulanni				fu lan ni	原始双字段一致（非独立语料证据）	
19878	影印	37	ying3 yin4	yingyin	ying3 yin4		ying yin	ying yin	单份鹤参考与其他证据一致	
19879	彷徨	37	pang2 huang2	panghuang	pang2 huang2	pang huang	pang huang	pang huang	简单鹤与鲸凉鹤去飞键后一致	
19880	心仪	37	xin1 yi2	xinyi	xin1 yi2	xin yi	xin yi	xin yi	简单鹤与鲸凉鹤去飞键后一致	
19881	心想事成	37	xin1 xiang3 shi4 cheng2	xinxiangshicheng	xin1 xiang3 shi4 cheng2			xin xiang shi cheng	整词词典与原始音节一致	
19882	心房	37	xin1 fang2	xinfang	xin1 fang2	xin fang	xin fang	xin fang	简单鹤与鲸凉鹤去飞键后一致	
19883	恩焕	37	en1 huan4	enhuan				en huan	原始双字段一致（非独立语料证据）	
19884	慰问	37	wei4 wen4	weiwen	wei4 wen4	wei wen	wei wen	wei wen	简单鹤与鲸凉鹤去飞键后一致	
19885	扁桃体	37	bian3 tao2 ti3	biantaoti	bian3 tao2 ti3			bian tao ti	整词词典与原始音节一致	
19886	承载	37	cheng2 zai4	chengzai	cheng2 zai4	cheng zai	cheng zai	cheng zai	简单鹤与鲸凉鹤去飞键后一致	
19887	抚恤金	37	fu3 xu4 jin1	fuxujin	fu3 xu4 jin1			fu xu jin	整词词典与原始音节一致	
19888	护士长	37	hu4 shi4 chang2/zhang3	hushichang				待分配	证据不足或仍冲突；待分配	
19889	拿手好戏	37	na2 shou3 hao3/hao4 hu1/xi4	nashouhaoxi	na2 shou3 hao3 xi4			na shou hao xi	整词词典与原始音节一致	
19890	指针	37	zhi3 zhen1	zhizhen	zhi3 zhen1	zhi zhen	zhi zhen	zhi zhen	简单鹤与鲸凉鹤去飞键后一致	
19891	捉奸	37	zhuo1 jian1	zhuojian	zhuo1 jian1	zhuo jian	zhuo jian	zhuo jian	简单鹤与鲸凉鹤去飞键后一致	
19892	掌舵	37	zhang3 duo4	zhangduo	zhang3 duo4	zhang duo	zhang duo	zhang duo	简单鹤与鲸凉鹤去飞键后一致	
19893	撒手不管	37	sa1/sa3 shou3 bu2/bu4 guan3	sashoubuguan	sa1 shou3 bu4 guan3			sa shou bu guan	整词词典与原始音节一致	
19894	撤掉	37	che4 diao4	chediao		che diao	che diao	che diao	简单鹤与鲸凉鹤去飞键后一致	
19895	撰写	37	zhuan4 xie3	zhuanxie	zhuan4 xie3	zhuan xie	zhuan xie	zhuan xie	简单鹤与鲸凉鹤去飞键后一致	
19896	收支	37	shou1 zhi1	shouzhi	shou1 zhi1		shou zhi	shou zhi	单份鹤参考与其他证据一致	
19897	改用	37	gai3 yong4	gaiyong	gai3 yong4	gai yong	gai yong	gai yong	简单鹤与鲸凉鹤去飞键后一致	
19898	断路	37	duan4 lu4	duanlu	duan4 lu4	duan lu	duan lu	duan lu	简单鹤与鲸凉鹤去飞键后一致	
19899	断送	37	duan4 song4	duansong	duan4 song4	duan song	duan song	duan song	简单鹤与鲸凉鹤去飞键后一致	
19900	斯林姆	37	si1 lin2 mu3	silinmu				si lin mu	原始双字段一致（非独立语料证据）	
19901	斯诺	37	Si1 nuo4	sinuo		si nuo	si nuo	si nuo	简单鹤与鲸凉鹤去飞键后一致	
19902	斯达利克	37	si1 da2 li4 ke4	sidalike				si da li ke	原始双字段一致（非独立语料证据）	
19903	方向感	37	fang1 xiang4 gan3	fangxianggan				fang xiang gan	原始双字段一致（非独立语料证据）	
19904	无地自容	37	wu2 di4 zi4 rong2	wudizirong	wu2 di4 zi4 rong2			wu di zi rong	整词词典与原始音节一致	
19905	既定	37	ji4 ding4	jiding	ji4 ding4	ji ding	ji ding	ji ding	简单鹤与鲸凉鹤去飞键后一致	
19906	日安	37	ri4 an1	rian			ri an	ri an	单份鹤参考与其他证据一致	
19907	日记本	37	ri4 ji4 ben3	rijiben	ri4 ji4 ben3			ri ji ben	整词词典与原始音节一致	
19908	时下	37	shi2 xia4	shixia	shi2 xia4	shi xia	shi xia	shi xia	简单鹤与鲸凉鹤去飞键后一致	
19909	时针	37	shi2 zhen1	shizhen	shi2 zhen1		shi zhen	shi zhen	单份鹤参考与其他证据一致	
19910	春光	37	chun1 guang1	chunguang	chun1 guang1	chun guang	chun guang	chun guang	简单鹤与鲸凉鹤去飞键后一致	
19911	更上一层楼	37	geng1/geng4 shang3/shang4 yi1 ceng2 lou2	gengshangyicenglou	geng4 shang4 yi1 ceng2 lou2			geng shang yi ceng lou	整词词典与原始音节一致	
19912	更进一步	37	geng1/geng4 jin4 yi1 bu4	gengjinyibu	geng4 jin4 yi1 bu4			geng jin yi bu	整词词典与原始音节一致	
19913	有条不紊	37	you3 tiao2 bu4 wen3	youtiaobuwen	you3 tiao2 bu4 wen3			you tiao bu wen	整词词典与原始音节一致	
19914	有的是	37	you3 de5 shi4	youdeshi	you3 de5 shi4			you de shi	整词词典与原始音节一致	
19915	服兵役	37	fu2/fu4 bing1 yi4	fubingyi				fu bing yi	原始双字段一致（非独立语料证据）	
19916	杜斯	37	du4 si1	dusi				du si	原始双字段一致（非独立语料证据）	
19917	构	37	gou4	gou	gou4			gou	整词词典与原始音节一致	
19918	枪炮	37	qiang1 pao4	qiangpao	qiang1 pao4	qiang pao	qiang pao	qiang pao	简单鹤与鲸凉鹤去飞键后一致	
19919	某某	37	mou3 mou3	moumou	mou3 mou3	mou mou	mou mou	mou mou	简单鹤与鲸凉鹤去飞键后一致	
19920	染色	37	ran3 se4	ranse	ran3 se4	ran se	ran se	ran se	简单鹤与鲸凉鹤去飞键后一致	
19921	柔情	37	rou2 qing2	rouqing	rou2 qing2	rou qing	rou qing	rou qing	简单鹤与鲸凉鹤去飞键后一致	
19922	查房	37	cha2/zha1 fang2	chafang	cha2 fang2	cha fang	cha fang	cha fang	简单鹤与鲸凉鹤去飞键后一致	
19923	栏目	37	lan2 mu4	lanmu	lan2 mu4	lan mu	lan mu	lan mu	简单鹤与鲸凉鹤去飞键后一致	
19924	栖	37	qi1/xi1	qi	qi1			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
19925	格拉斯	37	ge1/ge2 la1/la2/la3/la4 si1	gelasi				ge la si	原始双字段一致（非独立语料证据）	
19926	格拉斯哥	37	Ge2 la1 si1 ge1	gelasige				ge la si ge	原始双字段一致（非独立语料证据）	
19927	格里芬	37	ge1/ge2 li3 fen1	gelifen				ge li fen	原始双字段一致（非独立语料证据）	
19928	模板	37	mu2 ban3	moban	mu2 ban3	mo ban | mu ban	mo ban | mu ban	mu ban	原始音节与Chai一致且获两参考支持；兼容异读未当频次	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；参考含多个读音；未均摊词频
19929	正方形	37	zheng4 fang1 xing2	zhengfangxing	zheng4 fang1 xing2			zheng fang xing	整词词典与原始音节一致	
19930	此行	37	ci3 hang2/hang4/heng2/xing2	cixing	ci3 xing2			ci xing	整词词典与原始音节一致	
19931	死刑犯	37	si3 xing2 fan4	sixingfan				si xing fan	原始双字段一致（非独立语料证据）	
19932	残缺	37	can2 que1	canque	can2 que1	can que	can que	can que	简单鹤与鲸凉鹤去飞键后一致	
19933	殴	37	ou1	ou	ou1			ou	整词词典与原始音节一致	
19934	母爱	37	mu3 ai4	muai	mu3 ai4	mu ai	mu ai	mu ai	简单鹤与鲸凉鹤去飞键后一致	
19935	毒打	37	du2 da3	duda	du2 da3	du da	du da	du da	简单鹤与鲸凉鹤去飞键后一致	
19936	汇聚	37	hui4 ju4	huiju	hui4 ju4	hui ju	hui ju	hui ju	简单鹤与鲸凉鹤去飞键后一致	
19937	汽笛	37	qi4 di2	qidi	qi4 di2	qi di	qi di	qi di	简单鹤与鲸凉鹤去飞键后一致	
19938	沃尔特·柯敏斯	37	wo4 er3 te4 #ke1 min3 si1	woerte*keminsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
19939	沙丁鱼	37	sha1 ding1 yu2	shadingyu	sha1 ding1 yu2			sha ding yu	整词词典与原始音节一致	
19940	波音	37	Bo1 yin1	boyin	bo1 yin1	bo yin	bo yin	bo yin	简单鹤与鲸凉鹤去飞键后一致	
19941	泣	37	qi4	qi	qi4			qi	整词词典与原始音节一致	
19942	浸泡	37	jin4 pao4	jinpao	jin4 pao4	jin pao	jin pao	jin pao	简单鹤与鲸凉鹤去飞键后一致	
19943	深山	37	shen1 shan1	shenshan	shen1 shan1	shen shan	shen shan	shen shan	简单鹤与鲸凉鹤去飞键后一致	
19944	清高	37	qing1 gao1	qinggao	qing1 gao1	qing gao	qing gao	qing gao	简单鹤与鲸凉鹤去飞键后一致	
19945	游泳衣	37	you2 yong3 yi1	youyongyi	you2 yong3 yi1			you yong yi	整词词典与原始音节一致	
19946	溜掉	37	liu1/liu4 diao4	liudiao		liu diao	liu diao	liu diao	简单鹤与鲸凉鹤去飞键后一致	
19947	满天飞	37	man3 tian1 fei1	mantianfei	man3 tian1 fei1			man tian fei	整词词典与原始音节一致	
19948	灵通	37	ling2 tong1/tong4	lingtong	ling2 tong1	ling tong	ling tong	ling tong	简单鹤与鲸凉鹤去飞键后一致	
19949	点烟	37	dian3 yan1/yin1	dianyan	dian3 yan1	dian yan	dian yan	dian yan	简单鹤与鲸凉鹤去飞键后一致	
19950	熟识	37	shu2 shi5	shushi	shu2 shi2			shu shi	整词词典与原始音节一致	
19951	爪牙	37	zhao3 ya2	zhaoya	zhao3 ya2	zhao ya | zhua ya	zhao ya | zhua ya	zhao ya	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
19952	牛油	37	niu2 you2	niuyou		niu you	niu you	niu you	简单鹤与鲸凉鹤去飞键后一致	
19953	特种	37	te4 zhong3	tezhong	te4 zhong3	te zhong	te zhong	te zhong	简单鹤与鲸凉鹤去飞键后一致	
19954	玛丽娜	37	ma3 li2/li4 na4/nuo2	malina				待分配	证据不足或仍冲突；待分配	
19955	珍尼	37	zhen1 ni2	zhenni				zhen ni	原始双字段一致（非独立语料证据）	
19956	理科	37	li3 ke1	like	li3 ke1	li ke	li ke	li ke	简单鹤与鲸凉鹤去飞键后一致	
19957	畅所欲言	37	chang4 suo3 yu4 yan2	changsuoyuyan	chang4 suo3 yu4 yan2			chang suo yu yan	整词词典与原始音节一致	
19958	畏缩	37	wei4 suo1	weisuo	wei4 suo1	wei suo	wei suo	wei suo	简单鹤与鲸凉鹤去飞键后一致	
19959	瘫	37	tan1	tan	tan1			tan	整词词典与原始音节一致	
19960	皇族	37	huang2 zu2	huangzu	huang2 zu2	huang zu	huang zu	huang zu	简单鹤与鲸凉鹤去飞键后一致	
19961	盖伯	37	gai4/ge3 bai3/bo2	gaibo				待分配	证据不足或仍冲突；待分配	
19962	直立	37	zhi2 li4	zhili	zhi2 li4		zhi li	zhi li	单份鹤参考与其他证据一致	
19963	相仿	37	xiang1 fang3	xiangfang	xiang1 fang3	xiang fang	xiang fang	xiang fang	简单鹤与鲸凉鹤去飞键后一致	
19964	相逢	37	xiang1 feng2	xiangfeng	xiang1 feng2	xiang feng	xiang feng	xiang feng	简单鹤与鲸凉鹤去飞键后一致	
19965	相间	37	xiang1/xiang4 jian1/jian4	xiangjian	xiang1 jian4		xiang jian	xiang jian	单份鹤参考与其他证据一致	
19966	省事	37	sheng3 shi4	shengshi	sheng3 shi4	sheng shi	sheng shi	sheng shi	简单鹤与鲸凉鹤去飞键后一致	
19967	眼色	37	yan3 se4	yanse	yan3 se4	yan se	yan se	yan se	简单鹤与鲸凉鹤去飞键后一致	
19968	短语	37	duan3 yu3/yu4	duanyu	duan3 yu3	duan yu	duan yu	duan yu	简单鹤与鲸凉鹤去飞键后一致	
19969	破获	37	po4 huo4	pohuo	po4 huo4	po huo	po huo	po huo	简单鹤与鲸凉鹤去飞键后一致	
19970	祈	37	qi2	qi	qi2			qi	整词词典与原始音节一致	
19971	祈福	37	qi2 fu2	qifu	qi2 fu2		qi fu	qi fu	单份鹤参考与其他证据一致	
19972	禀	37	bing3	bing	bing3			bing	整词词典与原始音节一致	
19973	穿刺	37	chuan1 ci4	chuanci	chuan1 ci4	chuan ci	chuan ci	chuan ci	简单鹤与鲸凉鹤去飞键后一致	
19974	窝藏	37	wo1 cang2	wocang	wo1 cang2	wo cang	wo cang	wo cang	简单鹤与鲸凉鹤去飞键后一致	
19975	站岗	37	zhan4 gang3	zhangang	zhan4 gang3	zhan gang	zhan gang	zhan gang	简单鹤与鲸凉鹤去飞键后一致	
19976	简简单单	37	jian3 jian3 chan2/dan1/shan4 chan2/dan1/shan4	jianjiandandan	jian3 jian3 dan1 dan1			jian jian dan dan	整词词典与原始音节一致	
19977	管理处	37	guan3 li3 chu3/chu4	guanlichu				guan li chu	原始双字段一致（非独立语料证据）	
19978	篮筐	37	lan2 kuang1	lankuang	lan2 kuang1	lan kuang	lan kuang	lan kuang	简单鹤与鲸凉鹤去飞键后一致	
19979	篾	37	mie4	mie	mie4			mie	整词词典与原始音节一致	
19980	粘液	37	nian2 ye4	nianye	nian2 ye4	nian ye | zhan ye	nian ye	nian ye	简单鹤与鲸凉鹤去飞键后一致	
19981	精妙	37	jing1 miao4	jingmiao	jing1 miao4	jing miao	jing miao	jing miao	简单鹤与鲸凉鹤去飞键后一致	
19982	糖果店	37	tang2 guo3 dian4	tangguodian				tang guo dian	原始双字段一致（非独立语料证据）	
19983	素妍	37	su4 yan2	suyan				su yan	原始双字段一致（非独立语料证据）	
19984	纬度	37	wei3 du4	weidu	wei3 du4		wei du	wei du	单份鹤参考与其他证据一致	
19985	纳尼亚	37	Na4 ni2 ya4	naniya				na ni ya	原始双字段一致（非独立语料证据）	
19986	绿洲	37	lu:4 zhou1	lvzhou	lv4 zhou1	lv zhou	lv zhou	lv zhou	简单鹤与鲸凉鹤去飞键后一致	
19987	美洲虎	37	Mei3 zhou1 hu3	meizhouhu				mei zhou hu	原始双字段一致（非独立语料证据）	
19988	美纪	37	mei3 ji3/ji4	meiji				mei ji	原始双字段一致（非独立语料证据）	
19989	老乡	37	lao3 xiang1	laoxiang	lao3 xiang1	lao xiang	lao xiang	lao xiang	简单鹤与鲸凉鹤去飞键后一致	
19990	聆	37	ling2	ling	ling2			ling	整词词典与原始音节一致	
19991	肉身	37	rou4 shen1	roushen	rou4 shen1	rou shen	rou shen	rou shen	简单鹤与鲸凉鹤去飞键后一致	
19992	胡图族	37	hu2 tu2 zu2	hutuzu				hu tu zu	原始双字段一致（非独立语料证据）	
19993	腐化	37	fu3 hua4	fuhua	fu3 hua4			fu hua	整词词典与原始音节一致	
19994	膝盖骨	37	xi1 gai4/ge3 gu1/gu2/gu3	xigaigu				待分配	证据不足或仍冲突；待分配	
19995	自乐	37	zi4 le4/yue4	zile		zi le	zi le	zi le	简单鹤与鲸凉鹤去飞键后一致	
19996	自娱	37	zi4 yu2	ziyu				zi yu	原始双字段一致（非独立语料证据）	
19997	舰船	37	jian4 chuan2	jianchuan	jian4 chuan2	jian chuan	jian chuan	jian chuan	简单鹤与鲸凉鹤去飞键后一致	
19998	艾薇	37	ai4/yi4 wei1	aiwei		ai wei	ai wei	ai wei	简单鹤与鲸凉鹤去飞键后一致	
19999	节骨眼	37	jie1/jie2 gu1/gu2/gu3 yan3	jieguyan	jie1 gu3 yan3			jie gu yan	整词词典与原始音节一致	
20000	花絮	37	hua1 xu4	huaxu	hua1 xu4	hua xu	hua xu	hua xu	简单鹤与鲸凉鹤去飞键后一致	
20001	芹菜	37	qin2 cai4	qincai	qin2 cai4	qin cai	qin cai	qin cai	简单鹤与鲸凉鹤去飞键后一致	
20002	苍天	37	cang1 tian1	cangtian	cang1 tian1	cang tian	cang tian	cang tian	简单鹤与鲸凉鹤去飞键后一致	
20003	苹	37	pin2/ping2	ping	ping2			进入单字公共池	历史单字人工/比例裁决单独记账（不是上下文实测）	重复行合计后仅应用一次
20004	荣光	37	rong2 guang1	rongguang	rong2 guang1	rong guang	rong guang	rong guang	简单鹤与鲸凉鹤去飞键后一致	
20005	药检	37	yao4 jian3	yaojian	yao4 jian3	yao jian	yao jian	yao jian	简单鹤与鲸凉鹤去飞键后一致	
20006	莎莎	37	sha1/suo1 sha1/suo1	shasha			sha sha	sha sha	单份鹤参考与其他证据一致	
20007	获释	37	huo4 shi4	huoshi	huo4 shi4			huo shi	整词词典与原始音节一致	
20008	萌	37	meng2	meng	meng2			meng	整词词典与原始音节一致	
20009	蕊	37	rui3	rui	rui3			rui	整词词典与原始音节一致	
20010	薰智	37	xun1 zhi4	xunzhi				xun zhi	原始双字段一致（非独立语料证据）	
20011	蜷缩	37	quan2 suo1	quansuo	quan2 suo1	quan suo	quan suo	quan suo	简单鹤与鲸凉鹤去飞键后一致	
20012	蟒蛇	37	mang3 she2	mangshe	mang3 she2	mang she	mang she	mang she	简单鹤与鲸凉鹤去飞键后一致	
20013	血栓	37	xue4 shuan1	xueshuan	xue4 shuan1	xue shuan	xue shuan	xue shuan	简单鹤与鲸凉鹤去飞键后一致	
20014	裴达	37	pei2 da2	peida				pei da	原始双字段一致（非独立语料证据）	
20015	解围	37	jie3 wei2	jiewei	jie3 wei2	jie wei	jie wei	jie wei	简单鹤与鲸凉鹤去飞键后一致	
20016	誓约	37	shi4 yue1	shiyue	shi4 yue1	shi yue	shi yue	shi yue	简单鹤与鲸凉鹤去飞键后一致	
20017	试管	37	shi4 guan3	shiguan	shi4 guan3	shi guan	shi guan	shi guan	简单鹤与鲸凉鹤去飞键后一致	
20018	误入歧途	37	wu4 ru4 qi2 tu2	wuruqitu	wu4 ru4 qi2 tu2			wu ru qi tu	整词词典与原始音节一致	
20019	货柜	37	huo4 gui4/ju3	huogui	huo4 gui4	huo gui	huo gui	huo gui	简单鹤与鲸凉鹤去飞键后一致	
20020	贴近	37	tie1 jin4	tiejin	tie1 jin4	tie jin	tie jin	tie jin	简单鹤与鲸凉鹤去飞键后一致	
20021	费尽	37	fei4 jin3/jin4	feijin	fei4 jin4	fei jin	fei jin	fei jin	简单鹤与鲸凉鹤去飞键后一致	
20022	费神	37	fei4 shen2	feishen	fei4 shen2	fei shen	fei shen	fei shen	简单鹤与鲸凉鹤去飞键后一致	
20023	赌债	37	du3 zhai4	duzhai	du3 zhai4	du zhai	du zhai	du zhai	简单鹤与鲸凉鹤去飞键后一致	
20024	蹄子	37	ti2 zi3	tizi	ti2 zi5	ti zi	ti zi	ti zi	简单鹤与鲸凉鹤去飞键后一致	
20025	身形	37	shen1 xing2	shenxing	shen1 xing2	shen xing	shen xing	shen xing	简单鹤与鲸凉鹤去飞键后一致	
20026	转为	37	zhuai3/zhuan3/zhuan4 wei2/wei4	zhuanwei	zhuan3 wei2	zhuan wei	zhuan wei	zhuan wei	简单鹤与鲸凉鹤去飞键后一致	
20027	转来转去	37	zhuan3 lai2 zhuan3 qu4	zhuanlaizhuanqu	zhuan4 lai2 zhuan4 qu4			zhuan lai zhuan qu	整词词典与原始音节一致	
20028	转瞬即逝	37	zhuai3/zhuan3/zhuan4 shun4 ji2 shi4	zhuanshunjishi	zhuan3 shun4 ji2 shi4			zhuan shun ji shi	整词词典与原始音节一致	
20029	过手	37	guo1/guo4 shou3	guoshou	guo4 shou3	guo shou	guo shou	guo shou	简单鹤与鲸凉鹤去飞键后一致	
20030	运输机	37	yun4 shu1 ji1	yunshuji	yun4 shu1 ji1			yun shu ji	整词词典与原始音节一致	
20031	迟缓	37	chi2 huan3	chihuan	chi2 huan3	chi huan	chi huan	chi huan	简单鹤与鲸凉鹤去飞键后一致	
20032	迪斯	37	di2 si1	disi				di si	原始双字段一致（非独立语料证据）	
20033	迷离	37	mi2 li2	mili	mi2 li2	mi li	mi li	mi li	简单鹤与鲸凉鹤去飞键后一致	
20034	选拔赛	37	xuan3 ba2 sai4	xuanbasai	xuan3 ba2 sai4			xuan ba sai	整词词典与原始音节一致	
20035	透彻	37	tou4 che4	touche	tou4 che4	tou che	tou che	tou che	简单鹤与鲸凉鹤去飞键后一致	
20036	通气	37	tong1 qi4	tongqi		tong qi	tong qi	tong qi	简单鹤与鲸凉鹤去飞键后一致	
20037	通电	37	tong1 dian4	tongdian	tong1 dian4	tong dian	tong dian	tong dian	简单鹤与鲸凉鹤去飞键后一致	
20038	通风管	37	tong1 feng1 guan3	tongfengguan				tong feng guan	原始双字段一致（非独立语料证据）	
20039	造假	37	zao4 jia3	zaojia	zao4 jia3	zao jia	zao jia	zao jia	简单鹤与鲸凉鹤去飞键后一致	
20040	酬	37	chou2	chou	chou2			chou	整词词典与原始音节一致	
20041	野村	37	ye3 cun1	yecun		ye cun	ye cun	ye cun	简单鹤与鲸凉鹤去飞键后一致	
20042	铜板	37	tong2 ban3	tongban	tong2 ban3	tong ban	tong ban	tong ban	简单鹤与鲸凉鹤去飞键后一致	
20043	铺床	37	pu1 chuang2	puchuang	pu1 chuang2	pu chuang	pu chuang	pu chuang	简单鹤与鲸凉鹤去飞键后一致	
20044	长廊	37	chang2 lang2	changlang	chang2 lang2	chang lang	chang lang	chang lang	简单鹤与鲸凉鹤去飞键后一致	
20045	长线	37	chang2 xian4	changxian	chang2 xian4	chang xian	chang xian	chang xian	简单鹤与鲸凉鹤去飞键后一致	
20046	长者	37	chang2/zhang3 zhe3	zhangzhe	zhang3 zhe3	zhang zhe	zhang zhe	zhang zhe	整词人工裁决	
20047	长裤	37	chang2 ku4	changku	chang2 ku4	chang ku	chang ku	chang ku	简单鹤与鲸凉鹤去飞键后一致	
20048	闺房	37	gui1 fang2	guifang	gui1 fang2	gui fang	gui fang	gui fang	简单鹤与鲸凉鹤去飞键后一致	
20049	阳痿	37	yang2 wei3	yangwei	yang2 wei3	yang wei	yang wei	yang wei	简单鹤与鲸凉鹤去飞键后一致	
20050	阿刚	37	a1/a5/e1 gang1	agang				待分配	证据不足或仍冲突；待分配	
20051	阿萨	37	a1/a5/e1 sa4	asa				待分配	证据不足或仍冲突；待分配	
20052	阿龙	37	a1/a5/e1 long2	along		a long	a long	a long	简单鹤与鲸凉鹤去飞键后一致	
20053	陵墓	37	ling2 mu4	lingmu	ling2 mu4	ling mu	ling mu	ling mu	简单鹤与鲸凉鹤去飞键后一致	
20054	震荡	37	zhen4 dang4	zhendang	zhen4 dang4	zhen dang	zhen dang	zhen dang	简单鹤与鲸凉鹤去飞键后一致	
20055	鞠	37	ju1	ju	ju1			ju	整词词典与原始音节一致	
20056	饰物	37	shi4 wu4	shiwu	shi4 wu4			shi wu	整词词典与原始音节一致	
20057	马塞	37	ma3 sai1/sai4/se4	masai				待分配	证据不足或仍冲突；待分配	
20058	高见	37	gao1 jian4	gaojian	gao1 jian4	gao jian	gao jian	gao jian	简单鹤与鲸凉鹤去飞键后一致	
20059	鬼门关	37	gui3 men2 guan1	guimenguan	gui3 men2 guan1			gui men guan	整词词典与原始音节一致	
20060	黛芬妮	37	dai4 fen1 ni1	daifenni				dai fen ni	原始双字段一致（非独立语料证据）	
20061	鼻梁	37	bi2 liang2	biliang	bi2 liang2	bi liang	bi liang	bi liang	简单鹤与鲸凉鹤去飞键后一致	
20062	一言难尽	36	yi1 yan2 nan2 jin4	yiyannanjin	yi1 yan2 nan2 jin4			yi yan nan jin	整词词典与原始音节一致	
20063	三秒	36	san1 miao3	sanmiao		san miao	san miao	san miao	简单鹤与鲸凉鹤去飞键后一致	
20064	上马	36	shang4 ma3	shangma	shang4 ma3	shang ma	shang ma	shang ma	简单鹤与鲸凉鹤去飞键后一致	
20065	不休	36	bu4 xiu1	buxiu	bu4 xiu1		bu xiu	bu xiu	单份鹤参考与其他证据一致	
20066	世代	36	shi4 dai4	shidai	shi4 dai4	shi dai	shi dai	shi dai	简单鹤与鲸凉鹤去飞键后一致	
20067	丢人现眼	36	diu1 ren2 xian4 yan3	diurenxianyan	diu1 ren2 xian4 yan3			diu ren xian yan	整词词典与原始音节一致	
20068	为重	36	wei2/wei4 chong2/zhong4	weizhong			wei zhong	wei zhong	单份鹤参考与其他证据一致	
20069	主动权	36	zhu3 dong4 quan2	zhudongquan	zhu3 dong4 quan2			zhu dong quan	整词词典与原始音节一致	
20070	主旨	36	zhu3 zhi3	zhuzhi	zhu3 zhi3	zhu zhi	zhu zhi	zhu zhi	简单鹤与鲸凉鹤去飞键后一致	
20071	举措	36	ju3 cuo4	jucuo	ju3 cuo4	ju cuo	ju cuo	ju cuo	简单鹤与鲸凉鹤去飞键后一致	
20072	举重	36	ju3 zhong4	juzhong	ju3 zhong4	ju zhong	ju zhong	ju zhong	简单鹤与鲸凉鹤去飞键后一致	
20073	书记员	36	shu1 ji4 yuan2/yun2/yun4	shujiyuan	shu1 ji4 yuan2			shu ji yuan	整词词典与原始音节一致	
20074	二百	36	er4 bai3/bo2	erbai		er bai	er bai	er bai	简单鹤与鲸凉鹤去飞键后一致	
20075	亮晶晶	36	liang4 jing1 jing1	liangjingjing	liang4 jing1 jing1			liang jing jing	整词词典与原始音节一致	
20076	份额	36	fen4 e2	fene	fen4 e2	fen e	fen e	fen e	简单鹤与鲸凉鹤去飞键后一致	
20077	会员卡	36	hui4/kuai4 yuan2/yun2/yun4 ka3/qia3	huiyuanka				待分配	证据不足或仍冲突；待分配	
20078	伞兵	36	san3 bing1	sanbing	san3 bing1	san bing	san bing	san bing	简单鹤与鲸凉鹤去飞键后一致	
20079	传回	36	chuan2 hui2	chuanhui	chuan2 hui2	chuan hui	chuan hui	chuan hui	简单鹤与鲸凉鹤去飞键后一致	
20080	体育运动	36	ti3 yu4 yun4 dong4	tiyuyundong	ti3 yu4 yun4 dong4			ti yu yun dong	整词词典与原始音节一致	
20081	佩因赫斯特	36	pei4 yin1 he4 si1 te4	peiyinhesite				pei yin he si te	原始双字段一致（非独立语料证据）	
20082	侃	36	kan3	kan	kan3			kan	整词词典与原始音节一致	
20083	侄儿	36	zhi2 er2	zhier	zhi2 er5	zhi er	zhi er	zhi er	简单鹤与鲸凉鹤去飞键后一致	
20084	俯视	36	fu3 shi4	fushi	fu3 shi4	fu shi	fu shi	fu shi	简单鹤与鲸凉鹤去飞键后一致	
20085	倔强	36	jue2 jiang4	juejiang	jue2 jiang4	jue jiang	jue jiang	jue jiang	简单鹤与鲸凉鹤去飞键后一致	
20086	停泊	36	ting2 bo2	tingbo	ting2 bo2	ting bo	ting bo	ting bo	简单鹤与鲸凉鹤去飞键后一致	
20087	僧	36	seng1	seng	seng1			seng	整词词典与原始音节一致	
20088	先发制人	36	xian1 fa1 zhi4 ren2	xianfazhiren	xian1 fa1 zhi4 ren2			xian fa zhi ren	整词词典与原始音节一致	
20089	先天性	36	xian1 tian1 xing4	xiantianxing	xian1 tian1 xing4			xian tian xing	整词词典与原始音节一致	
20090	克里丝	36	ke4 li3 si1	kelisi				ke li si	原始双字段一致（非独立语料证据）	
20091	全人类	36	quan2 ren2 lei4	quanrenlei	quan2 ren2 lei4			quan ren lei	整词词典与原始音节一致	
20092	兴高采烈	36	xing1 gao1 cai3 lie4	xinggaocailie	xing4 gao1 cai3 lie4			xing gao cai lie	整词词典与原始音节一致	
20093	凯勒布	36	kai3 le4/lei1 bu4	kailebu				待分配	证据不足或仍冲突；待分配	
