行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
38338	劳伦·艾德里安	8	lao2 lun2 #ai4/yi4 de2 li3 an1	laolun*aidelian				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38365	卡尔·麦卡弗雷	8	ka3/qia3 er3 #mai4 ka3/qia3 fu2 lei2	kaer*maikafulei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38421	和面	8	huo2 mian4	huomian	he2 mian4	huo mian	huo mian	huo mian	整词人工裁决	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
38427	哈玛·科洛拉	8	ha1/ha3/ha4 ma3 #ke1 luo4 la1/la2/la3/la4	hama*keluola				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38428	哈维·肖恩	8	ha1/ha3/ha4 wei2 #xiao1/xiao4 en1	hawei*xiaoen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38431	哈里森·福特	8	ha1/ha3/ha4 li3 sen1 #fu2 te4	halisen*fute				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38474	圣迪亚哥·蒙尼兹	8	sheng4 di2 ya4 ge1 #meng1/meng2/meng3 ni2 ci2/zi1	shengdiyage*mengnizi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38484	埃尔顿·约翰	8	ai1 er3 du2/dun4 #yao1/yue1 han4	aierdun*yuehan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38488	埃里斯特·约翰逊	8	ai1 li3 si1 te4 #yao1/yue1 han4 xun4	ailisite*yuehanxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38499	塔科曼·马什	8	da5/ta3 ke1 man4 #ma3 shen2/shi2	takeman*mashi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38508	壳牌	8	Ke2 pai2	kepai	qiao4 pai2	ke pai	ke pai	ke pai	简单鹤与鲸凉鹤去飞键后一致	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两鹤一致但Chai不同
38510	夏洛特·沃伦	8	xia4 luo4 te4 #wo4 lun2	xialuote*wolun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38520	多莉·帕顿	8	duo1 li4 #pa4 du2/dun4	duoli*padun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38533	大腹便便	8	da4/dai4 fu4 bian4/pian2 bian4/pian2	dafubianbian	da4 fu4 pian2 pian2			da fu pian pian	整词词典与原始音节一致	整词词典与辅助拼音矛盾
38554	奥黛丽·伍兹	8	ao4 dai4 li2/li4 #wu3 ci2/zi1	aodaili*wuzi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38557	奴婢	8	nu2 bi4	nubei	nu2 bi4	nu bi	nu bi	nu bi	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
38564	妄自菲薄	8	wang4 zi4 fei1 bo2	wangzifeibao	wang4 zi4 fei3 bao2			wang zi fei bao	整词词典与辅助字段一致；修正原始音节	原始两拼音字段矛盾；整词词典与原始拼音矛盾
38570	威尔·贝克特尔	8	wei1 er3 #bei4 ke4 te4 er3	weier*beiketeer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38572	威廉·舒曼	8	wei1 lian2 #shu1 man4	weilian*shuman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38598	官长	8	guan1 chang2/zhang3	guanchang	guan1 zhang3			guan zhang	整词词典与原始音节一致	整词词典与辅助拼音矛盾
38616	小便宜	8	xiao3 bian4/pian2 yi2	xiaobianyi	xiao3 pian2 yi2			xiao pian yi	整词词典与原始音节一致	整词词典与辅助拼音矛盾
38650	山默尔·拉莫斯	8	shan1 mo4 er3 #la1/la2/la3/la4 mo4 si1	shanmoer*lamosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38667	布拉德·布拉米什	8	bu4 la1/la2/la3/la4 de2 #bu4 la1/la2/la3/la4 mi3 shen2/shi2	bulade*bulamishi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38680	帕布罗·毕加索	8	pa4 bu4 luo1/luo2/luo5 #bi4 jia1 suo3	pabuluo*bijiasuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38681	帕特里克·达菲	8	pa4 te4 li3 ke4 #da2 fei1/fei3	patelike*dafei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38729	彼得·柯尔特	8	bi3 de2/de5/dei3 #ke1 er3 te4	bide*keerte				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38750	怀亚特·博斯	8	huai2 ya4 te4 #bo2 si1	huaiyate*bosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38779	战略家	8	zhan4 lu:e4 jia1	zhanluejia				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
38781	戴安·赫斯利	8	dai4 an1 #he4 si1 li4	daian*hesili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38792	托尼·怀特	8	tuo1 ni2 #huai2 te4	tuoni*huaite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38812	拉里·金	8	la1/la2/la3/la4 li3 #jin1	lali*jin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38850	故地重游	8	gu4 di4 chong2 you2	gudizhongyou	gu4 di4 chong2 you2			gu di chong you	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
38855	教务长	8	jiao1/jiao4 wu4 chang2/zhang3	jiaowuchang	jiao4 wu4 zhang3			jiao wu zhang	整词词典与原始音节一致	整词词典与辅助拼音矛盾
38872	斯蒂芬·蒙哥墨利	8	si1 di4 fen1 #meng1/meng2/meng3 ge1 mo4 li4	sidifen*menggemoli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38909	晟	8	sheng4	sheng	cheng2			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
38954	杰克·斯坦菲尔德	8	jie2 ke4 #si1 tan3 fei1/fei3 er3 de2	jieke*sitanfeierde				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38955	杰夫·特瑞	8	jie2 fu1/fu2 #te4 rui4	jiefu*terui				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38971	查基·诺里斯	8	cha2/zha1 ji1 #nuo4 li3 si1	chaji*nuolisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38972	查尔斯·格雷	8	cha2/zha1 er3 si1 #ge1/ge2 lei2	chaersi*gelei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38973	查尔斯·法默尔	8	cha2/zha1 er3 si1 #fa3 mo4 er3	chaersi*famoer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38993	格雷琴·维纳斯	8	ge1/ge2 lei2 qin2 #wei2 na4 si1	geleiqin*weinasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
38997	桑尼·利斯顿	8	sang1 ni2 #li4 si1 du2/dun4	sangni*lisidun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39044	比利·雷·波普	8	bi3 li4 #lei2 #bo1 pu3	bili*lei*bopu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39045	比尔·格兰特	8	bi3 er3 #ge1/ge2 lan2 te4	bier*gelante				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39075	汤姆·尼克森	8	shang1/tang1 mu3 #ni2 ke4 sen1	tangmu*nikesen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39076	汤姆·鲍德温	8	shang1/tang1 mu3 #bao4 de2 wen1	tangmu*baodewen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39077	汤米·唐纳利	8	shang1/tang1 mi3 #tang2 na4 li4	tangmi*tangnali				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39103	泰德·琼斯	8	tai4 de2 #qiong2 si1	taide*qiongsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39202	率真	8	lu:4/shuai4 zhen1	lvzhen	shuai4 zhen1	shuai zhen	shuai zhen	shuai zhen	整词人工裁决	整词词典与辅助拼音矛盾
39206	玛格丽特·阿尔维利	8	ma3 ge1/ge2 li2/li4 te4 #a1/a5/e1 er3 wei2 li4	magelite*aerweili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39211	珍妮·杰克逊	8	zhen1 ni1 #jie2 ke4 xun4	zhenni*jiekexun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39212	珍娜·林克	8	zhen1 na4/nuo2 #lin2 ke4	zhenna*linke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39225	瑞米·布里桑特	8	rui4 mi3 #bu4 li3 sang1 te4	ruimi*bulisangte				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39240	生长激素	8	sheng1 zhang3 ji1 su4	shengchangjisu				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
39388	约翰·法利	8	yao1/yue1 han4 #fa3 li4	yuehan*fali				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39389	约翰尼·诺克斯维尔	8	yao1/yue1 han4 ni2 #nuo4 ke4 si1 wei2 er3	yuehanni*nuokesiweier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39413	维克特·那拉摩尔	8	wei2 ke4 te4 #na1/na3/na4/nei4 la1/la2/la3/la4 ma1/mo2 er3	weikete*nalamoer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39417	维默·斯科特	8	wei2 mo4 #si1 ke1 te4	weimo*sikete				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39420	罗·盖勒	8	luo1/luo2/luo5 #gai4/ge3 le4/lei1	luo*gaile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39422	罗伯特·福特	8	luo1/luo2/luo5 bai3/bo2 te4 #fu2 te4	luobote*fute				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39425	罗德尼·金	8	luo1/luo2/luo5 de2 ni2 #jin1	luodeni*jin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39428	罗纳德·里根	8	luo1/luo2/luo5 na4 de2 #li3 gen1	luonade*ligen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39497	艾萨克·门德斯	8	ai4/yi4 sa4 ke4 #men2 de2 si1	aisake*mendesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39507	苏姗	8	su1 shan1	susan				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
39508	苏格·耐	8	su1 ge1/ge2 #nai4	suge*nai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39529	莫里斯·奥布赖恩	8	mo4 li3 si1 #ao4 bu4 lai4 en1	molisi*aobulaien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39531	莱恩·伯内特	8	lai2 en1 #bai3/bo2 nei4 te4	laien*boneite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39543	萨利·迈克尔斯	8	sa4 li4 #mai4 ke4 er3 si1	sali*maikeersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39546	萨尔玛·海耶克	8	sa4 er3 ma3 #hai3 ye1/ye2 ke4	saerma*haiyeke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39547	萨梅·戴维斯	8	sa4 mei2 #dai4 wei2 si1	samei*daiweisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39550	葛兰·卡斯提斯	8	ge2/ge3 lan2 #ka3/qia3 si1 di1/ti2 si1	gelan*kasitisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39557	薄荷油	8	bo4 he5 you2	baoheyou				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
39570	西乐	8	xi1 le4/yue4	xile	xi1 yue4			xi yue	整词词典与原始音节一致	整词词典与辅助拼音矛盾
39607	谋略	8	mou2 lu:e4	moulue	mou2 lve4	mou lve	mou lve	mou lve	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
39619	贝基·乔治	8	bei4 ji1 #qiao2 zhi4	beiji*qiaozhi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39646	赫克托·拉沃	8	he4 ke4 tuo1 #la1/la2/la3/la4 wo4	heketuo*lawo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39684	远渡重洋	8	yuan3 du4 chong2/zhong4 yang2	yuanduzhongyang	yuan3 du4 chong2 yang2			yuan du chong yang	整词词典与原始音节一致	整词词典与辅助拼音矛盾
39743	铜臭	8	tong2 chou4/xiu4	tongxiu	tong2 xiu4	tong chou | tong xiu	tong chou | tong xiu	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
39767	阿·凯	8	a1/a5/e1 #kai3	a*kai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39769	阿伦·普拉特	8	a1/a5/e1 lun2 #pu3 la1/la2/la3/la4 te4	alun*pulate				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39803	雨露	8	yu3/yu4 lou4/lu4	yulu	yu3 lu4	yu lou | yu lu	yu lou | yu lu	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
39846	马修·派瑞	8	ma3 xiu1 #pa1/pai4 rui4	maxiu*pairui				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39935	丑角	7	chou3 jue2	choujiao	chou3 jue2	chou jue	chou jue	chou jue	整词人工裁决	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
39961	丹·杰弗瑞	7	dan1 #jie2 fu2 rui4	dan*jiefurui				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39962	丹尼尔·拉弗第	7	dan1 ni2 er3 #la1/la2/la3/la4 fu2 di4	dannier*lafudi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39970	乐歌	7	le4/yue4 ge1	lege	yue4 ge1			yue ge	整词词典与原始音节一致	整词词典与辅助拼音矛盾
39974	乔治·汉密尔顿	7	qiao2 zhi4 #han4 mi4 er3 du2/dun4	qiaozhi*hanmierdun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39993	亚瑟·利	7	ya4 se4 #li4	yase*li				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
39999	亨利·琼斯	7	heng1 li4 #qiong2 si1	hengli*qiongsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40014	仙乐	7	xian1 le4/yue4	xianle	xian1 yue4	xian yue	xian yue	xian yue	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
40027	伊丽莎白·泰勒	7	yi1 li2/li4 sha1/suo1 bai2 #tai4 le4/lei1	yilishabai*taile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40031	伊芙琳·马丁	7	yi1 fu2 lin2 #ma3 ding1/zheng1	yifulin*mading				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40050	佛吉尼亚	7	fu2 ji2 ni2 ya4	fojiniya				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
40061	侦缉	7	zhen1 qi1	zhenji	zhen1 ji1			zhen ji	整词词典与辅助字段一致；修正原始音节	原始两拼音字段矛盾；整词词典与原始拼音矛盾
40064	保尔·瑞恩	7	bao3 er3 #rui4 en1	baoer*ruien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40081	僮	7	zhuang4	zhuang	tong2			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
40112	克里斯·约翰逊	7	ke4 li3 si1 #yao1/yue1 han4 xun4	kelisi*yuehanxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40231	博比·德威特	7	bo2 bi3 #de2 wei1 te4	bobi*deweite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40234	卡子	7	ka3/qia3 zi3	kazi	qia3 zi5	ka zi	ka zi | qia zi	ka zi	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾；两鹤一致但Chai不同
40235	卡尔·艾伦	7	ka3/qia3 er3 #ai4/yi4 lun2	kaer*ailun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40330	商行	7	shang1 hang2/hang4/heng2/xing2	shangxing	shang1 hang2	shang hang	shang hang	shang hang	整词人工裁决	整词词典与辅助拼音矛盾
40363	圣·克莱尔	7	sheng4 #ke4 lai2 er3	sheng*kelaier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40385	埃里·博金	7	ai1 li3 #bo2 jin1	aili*bojin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40396	塞德里克·迪戈里	7	sai1/sai4/se4 de2 li3 ke4 #di2 ge1 li3	saidelike*digeli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40402	墨菲·布朗	7	mo4 fei1/fei3 #bu4 lang3	mofei*bulang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40416	外露	7	wai4 lu4	wailu	wai4 lu4	wai lou | wai lu	wai lou | wai lu	wai lu	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
40447	奥斯汀·艾姆斯	7	ao4 si1 ting1 #ai4/yi4 mu3 si1	aositing*aimusi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40448	奥森·贝利	7	ao4 sen1 #bei4 li4	aosen*beili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40449	奥玛尔·萨义德·谢赫	7	ao4 ma3 er3 #sa4 yi4 de2 #xie4 he4	aomaer*sayide*xiehe				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40453	奥莉维亚·泰勒	7	ao4 li4 wei2 ya4 #tai4 le4/lei1	aoliweiya*taile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40469	威尔弗雷德·伍德拉夫	7	wei1 er3 fu2 lei2 de2 #wu3 de2 la1/la2/la3/la4 fu1/fu2	weierfuleide*wudelafu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40496	安妮·布拉达克	7	an1 ni1 #bu4 la1/la2/la3/la4 da2 ke4	anni*buladake				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40497	安妮·法兰克	7	an1 ni1 #fa3 lan2 ke4	anni*falanke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40498	安娜·福斯特	7	an1 na4/nuo2 #fu2 si1 te4	anna*fusite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40502	安珀·威尔森	7	an1 po4 #wei1 er3 sen1	anpo*weiersen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40508	安迪·王	7	an1 di2 #wang2/wang4	andi*wang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40532	对称性	7	dui4 chen4 xing4	duichengxing				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
40554	尼尔森·戴维斯	7	ni2 er3 sen1 #dai4 wei2 si1	niersen*daiweisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40579	巴里·巴蒂耐	7	ba1 li3 #ba1 di4 nai4	bali*badinai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40602	帕特里克·察莫索	7	pa4 te4 li3 ke4 #cha2 mo4 suo3	patelike*chamosuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40632	弗兰克·马丁	7	fu2 lan2 ke4 #ma3 ding1/zheng1	fulanke*mading				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40644	强尼·柯德	7	jiang4/qiang2/qiang3 ni2 #ke1 de2	qiangni*kede				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40648	当差	7	dang1/dang4 cha1/cha4/chai1/ci1	dangchai	dang1 chai1	dang cha | dang chai	dang cha | dang chai	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
40701	惠特尼·休斯顿	7	hui4 te4 ni2 #xiu1 si1 du2/dun4	huiteni*xiusidun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40733	托马斯·杰斐逊	7	tuo1 ma3 si1 #jie2 fei3 xun4	tuomasi*jiefeixun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40825	文森特·里派克	7	wen2 sen1 te4 #li3 pa1/pai4 ke4	wensente*lipaike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40837	斯基特·布朗森	7	si1 ji1 te4 #bu4 lang3 sen1	sijite*bulangsen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40865	旧地重游	7	jiu4 di4 chong2 you2	jiudizhongyou	jiu4 di4 chong2 you2			jiu di chong you	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
40911	朝代	7	chao2 dai4	chaodai	chao2 dai4	chao dai | zhao dai	chao dai | zhao dai	chao dai	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
40913	木管乐器	7	mu4 guan3 yue4 qi4	muguanleqi				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
40917	本·阿弗莱克	7	ben3 #a1/a5/e1 fu2 lai2 ke4	ben*afulaike				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40919	本杰明·奥莱安	7	ben3 jie2 ming2 #ao4 lai2 an1	benjieming*aolaian				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40942	杰克·莱利	7	jie2 ke4 #lai2 li4	jieke*laili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40943	杰夫·戈登	7	jie2 fu1/fu2 #ge1 deng1	jiefu*gedeng				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40957	查尔斯·狄更斯	7	cha2/zha1 er3 si1 #di2 geng1/geng4 si1	chaersi*digengsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40971	格兰·弗伊	7	ge1/ge2 lan2 #fu2 yi1	gelan*fuyi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
40977	格温·格里森	7	ge1/ge2 wen1 #ge1/ge2 li3 sen1	gewen*gelisen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41005	欧比·旺·科努比	7	ou1 bi3 #wang4 #ke1 nao2/nu3 bi3	oubi*wang*kenubi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41027	比利·兰斯	7	bi3 li4 #lan2 si1	bili*lansi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41028	比利·巴尔山	7	bi3 li4 #ba1 er3 shan1	bili*baershan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41029	比利·雷	7	bi3 li4 #lei2	bili*lei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41030	比尔·海顿	7	bi3 er3 #hai3 du2/dun4	bier*haidun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41089	波莉·帕金斯	7	bo1 li4 #pa4 jin1 si1	boli*pajinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41092	泰·克瑞恩	7	tai4 #ke4 rui4 en1	tai*keruien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41111	海伦·本森	7	hai3 lun2 #ben3 sen1	hailun*bensen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41178	特德·雷	7	te4 de2 #lei2	tede*lei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41187	狄特尔·邓格勒	7	di2 te4 er3 #deng4 ge1/ge2 le4/lei1	diteer*denggele				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41189	狡黠	7	jia3/jiao3 xia2	jiaojie	jiao3 xia2	jiao xia	jiao xia	jiao xia	简单鹤与鲸凉鹤去飞键后一致	整词词典与辅助拼音矛盾
41199	玛丽·安托瓦内特	7	ma3 li2/li4 #an1 tuo1 wa3/wa4 nei4 te4	mali*antuowaneite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41334	科拉·考曼	7	ke1 la1/la2/la3/la4 #kao3 man4	kela*kaoman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41337	科温·厄尔	7	ke1 wen1 #e4 er3	kewen*eer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41352	章鹤洙	7	zhang1 he4 zhu1	zhanghe*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41397	约翰·克拉克	7	yao1/yue1 han4 #ke4 la1/la2/la3/la4 ke4	yuehan*kelake				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41398	约翰·奎恩	7	yao1/yue1 han4 #kui2 en1	yuehan*kuien				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41399	约翰·贝尔	7	yao1/yue1 han4 #bei4 er3	yuehan*beier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41400	约翰·霍普金斯	7	yao1/yue1 han4 #huo4 pu3 jin1 si1	yuehan*huopujinsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41430	罗伊·艾伯哈特	7	luo1/luo2/luo5 yi1 #ai4/yi4 bai3/bo2 ha1/ha3/ha4 te4	luoyi*aibohate				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41440	罗恩·威尔逊	7	luo1/luo2/luo5 en1 #wei1 er3 xun4	luoen*weierxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41475	肱骨	7	gong1 gu3	gongfu	gong1 gu3	gong gu	gong gu	gong gu	简单鹤与鲸凉鹤去飞键后一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
41489	自省	7	zi4 xing3	zisheng	zi4 xing3	zi xing	zi xing	zi xing	整词人工裁决	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
41521	苏菲·梅斯	7	su1 fei1/fei3 #mei2 si1	sufei*meisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41534	茅塞顿开	7	mao2 se4 dun4 kai1	maosaidunkai	mao2 se4 dun4 kai1			mao se dun kai	整词词典与原始音节一致	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
41542	莉娜·梅	7	li4 na4/nuo2 #mei2	lina*mei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41545	莫林·奥弗拉赫蒂	7	mo4 lin2 #ao4 fu2 la1/la2/la3/la4 he4 di4	molin*aofulahedi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41553	菲利普·鲍尔	7	fei1/fei3 li4 pu3 #bao4 er3	feilipu*baoer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41563	萨拉·考沃斯	7	sa4 la1/la2/la3/la4 #kao3 wo4 si1	sala*kaowosi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41575	蒂娜·琼斯	7	di4 na4/nuo2 #qiong2 si1	dina*qiongsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
41582	薄情	7	bo2 qing2	boqing	bo2 qing2	bao qing | bo qing	bao qing | bo qing	bo qing	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
41583	薄脆	7	bao2 cui4	baocui	bao2 cui4	bao cui | bo cui	bao cui | bo cui	bao cui	原始音节与Chai一致且获两参考支持；兼容异读未当频次	参考含多个读音；未均摊词频
